epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5910.39,0.68087,0.75282,1.07013,0.90849,0.90724,0.95337,0.7827,0.69802,0.43946,1.07053,0.0007294,0.0007294,0.0007294
43,6051.2,0.67752,0.76337,1.08144,0.93412,0.89793,0.95505,0.78289,0.69831,0.43807,1.08099,0.0007228,0.0007228,0.0007228
44,6191.82,0.67913,0.76627,1.08558,0.91633,0.90159,0.95263,0.78702,0.66995,0.42845,1.05479,0.0007162,0.0007162,0.0007162
45,6332.7,0.66133,0.73181,1.05755,0.92835,0.88822,0.9526,0.78396,0.69942,0.42239,1.06346,0.0007096,0.0007096,0.0007096
46,6473.21,0.65999,0.72957,1.05944,0.92494,0.8902,0.95455,0.79119,0.67326,0.41154,1.04727,0.000703,0.000703,0.000703
47,6613.35,0.666,0.74679,1.06902,0.93417,0.89782,0.9565,0.78853,0.69043,0.40565,1.06948,0.0006964,0.0006964,0.0006964
48,6754.02,0.66736,0.72375,1.06239,0.91874,0.91825,0.9599,0.78464,0.70394,0.40889,1.06412,0.0006898,0.0006898,0.0006898
49,6894.75,0.65958,0.72142,1.06813,0.94187,0.90684,0.95558,0.79245,0.66683,0.40784,1.05477,0.0006832,0.0006832,0.0006832
50,7035.66,0.65362,0.72606,1.06133,0.91941,0.90053,0.95434,0.78996,0.65882,0.40131,1.04463,0.0006766,0.0006766,0.0006766
51,7176.42,0.64889,0.72288,1.06224,0.95766,0.88478,0.95935,0.80316,0.6558,0.39166,1.03604,0.00067,0.00067,0.00067
52,7317.23,0.65044,0.69706,1.05404,0.92446,0.9138,0.95344,0.78451,0.67756,0.39348,1.05932,0.0006634,0.0006634,0.0006634
53,7457.89,0.64839,0.6908,1.06357,0.94503,0.91988,0.96588,0.79679,0.67517,0.38131,1.06475,0.0006568,0.0006568,0.0006568
54,7598.42,0.64911,0.68509,1.05941,0.92757,0.90557,0.95812,0.79818,0.65187,0.38774,1.04216,0.0006502,0.0006502,0.0006502
55,7739.09,0.64079,0.69436,1.06227,0.94429,0.9326,0.9688,0.79719,0.66765,0.37429,1.05911,0.0006436,0.0006436,0.0006436
56,7879.18,0.64108,0.69077,1.05444,0.95054,0.90909,0.96404,0.79634,0.67217,0.38167,1.05885,0.000637,0.000637,0.000637
